product_id,brand,category,retailer,title,title_length,bullet_count,bullets,has_main_image,has_lifestyle_images,has_a_plus_content,in_stock,price_present,star_rating,review_count,shelf_health_score,issues,severity
P00033,Colgate-Palmolive,Personal Care,Target.com,Colgate-Palmolive Bar Soap 3pk,30,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.7,847,54.2,Missing lifestyle images; Missing A+ content; Thin bullets (1/5); Title too short,At Risk
P00034,Mondelez,Confectionery,Amazon,Mondelez Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,4.5,3677,74.2,Missing A+ content; Title too short,Needs Minor Fixes
P00035,Nestle,Confectionery,Target.com,Nestle Wafer Bar Multipack (Pack of 8),38,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,True,True,True,2.9,1613,92.8,Thin bullets (2/5); Title too short,Healthy
P00036,Kelloggs,Breakfast,Instacart,Kelloggs - Corn Flakes Cereal,29,0,,True,True,True,True,True,4.5,1033,77.2,Thin bullets (0/5); Title too short,Needs Minor Fixes
P00037,Coca-Cola,Beverages,Kroger.com,Cola 12pk Cans by Coca-Cola,27,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,True,True,True,4.1,977,80.1,Missing lifestyle images; Thin bullets (2/5); Title too short,Needs Minor Fixes
P00038,Nestle,Confectionery,Kroger.com,Chocolate Bar by Nestle,23,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,65.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00039,Coca-Cola,Beverages,Kroger.com,Coca-Cola - Sparkling Water 8pk,31,0,,True,False,True,True,True,3.1,2318,67.8,Missing lifestyle images; Thin bullets (0/5); Title too short,At Risk
P00040,Coca-Cola,Beverages,Instacart,Coca-Cola Juice,15,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,,0,73.8,Missing A+ content; Title too short,Needs Minor Fixes
P00041,Mondelez,Snacks,Walmart.com,Trail Mix Pouch by Mondelez,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,False,False,True,True,3.3,3828,46.8,Missing main image; Missing lifestyle images; Missing A+ content; Title too short,Critical
P00042,Coca-Cola,Beverages,Walmart.com,Coca-Cola Iced Coffee 4pk (Pack of 8),37,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,4.1,3604,72.5,Missing A+ content; Thin bullets (2/5); Title too short,Needs Minor Fixes
P00043,Colgate-Palmolive,Personal Care,Amazon,Colgate-Palmolive Mouthwash 1L (Pack of 4),42,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,3.6,996,80.0,Missing A+ content,Needs Minor Fixes
P00044,Colgate-Palmolive,Home Care,Kroger.com,All-Purpose Cleaner Spray by Colgate-Palmolive,46,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,True,True,True,4.8,2826,100.0,None,Healthy
P00045,Nestle,Beverages,Instacart,Diet Cola 2L Bottle by Nestle,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,223,77.2,Missing A+ content; Title too short,Needs Minor Fixes
P00046,Kelloggs,Snacks,Instacart,Cheese Crackers Box by Kelloggs,31,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,True,False,True,3.6,303,87.8,Out of stock; Title too short,Needs Minor Fixes
P00047,Kelloggs,Breakfast,Walmart.com,Kelloggs Granola Bars 6pk,25,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,3.7,1813,66.2,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00048,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive All-Purpose,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.0,641,67.2,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00049,Coca-Cola,Beverages,Kroger.com,Coca-Cola - Iced Coffee 4pk,27,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,True,True,True,4.0,3292,80.1,Missing lifestyle images; Thin bullets (2/5); Title too short,Needs Minor Fixes
P00050,Nestle,Confectionery,Kroger.com,Chocolate Bar by Nestle,23,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.1,2820,95.8,Title too short,Healthy
P00051,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive All-Purpose Cleaner Spray,43,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.6,2404,70.0,Missing lifestyle images; Missing A+ content,Needs Minor Fixes
P00052,Coca-Cola,Beverages,Amazon,Coca-Cola Juice Drink 6pk (Pack of 4),37,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,3.5,2744,69.2,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00053,Coca-Cola,Beverages,Instacart,Coca-Cola Sparkling Water 8pk (Pack of 8),41,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,False,3.9,4,90.0,Price missing,Healthy
P00054,Kelloggs,Snacks,Amazon,Kelloggs Trail Mix Pouch (Pack of 4),36,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,3.1,3986,69.0,Missing A+ content; Out of stock; Title too short,At Risk
P00055,Kelloggs,Breakfast,Target.com,Kelloggs Granola,16,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,False,True,4.8,1195,74.0,Missing lifestyle images; Out of stock; Title too short,Needs Minor Fixes
P00056,Kelloggs,Snacks,Instacart,Kelloggs - Trail Mix Pouch,26,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",False,True,False,True,True,3.7,3826,56.5,Missing main image; Missing A+ content; Title too short,At Risk
P00057,Kelloggs,Snacks,Target.com,Kelloggs Cracker Sandwiches (Pack of 6),39,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,,0,99.8,Title too short,Healthy
P00058,Nestle,Breakfast,Kroger.com,Nestle Granola Bars 6pk (Pack of 8),35,0,,True,False,False,True,True,4.9,2028,48.8,Missing lifestyle images; Missing A+ content; Thin bullets (0/5); Title too short,Critical
P00059,Coca-Cola,Beverages,Kroger.com,Coca-Cola Juice Drink 6pk (Pack of 6),37,1,Made with real ingredients for a taste you'll love,False,True,True,True,False,4.4,1085,55.9,Missing main image; Price missing; Thin bullets (1/5); Title too short,At Risk
P00060,Colgate-Palmolive,Home Care,Amazon,Colgate-Palmolive Laundry Detergent 50oz (Pack of 6),52,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.2,1177,70.0,Missing lifestyle images; Missing A+ content,Needs Minor Fixes
P00061,Nestle,Breakfast,Instacart,Nestle Corn Flakes Cereal,25,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,True,True,3.1,2175,86.2,Missing lifestyle images; Title too short,Needs Minor Fixes
P00062,Mondelez,Snacks,Walmart.com,Mondelez Cheese Crackers Box (Pack of 1),40,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,2.8,3295,90.0,Missing lifestyle images,Healthy
P00063,Mondelez,Confectionery,Walmart.com,Mint Tin by Mondelez,20,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,65.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00064,Mondelez,Snacks,Instacart,Cheese Crackers Box by Mondelez,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.4,200,67.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00065,Kelloggs,Snacks,Walmart.com,Kelloggs - Pretzel Bag,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.7,2647,65.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00066,Coca-Cola,Beverages,Amazon,Coca-Cola - Iced Coffee 4pk,27,1,Made with real ingredients for a taste you'll love,True,False,True,True,True,,0,73.5,Missing lifestyle images; Thin bullets (1/5); Title too short,Needs Minor Fixes
P00067,Kelloggs,Snacks,Target.com,Cheese Crackers Box by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,False,,0,67.8,Missing A+ content; Price missing; Title too short,At Risk
P00068,Mondelez,Confectionery,Instacart,Mondelez Chocolate Bar,22,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,3.3,102,65.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00069,Kelloggs,Snacks,Walmart.com,Kelloggs Chips Family Size (Pack of 1),38,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,False,True,3.0,3634,89.5,Out of stock; Title too short,Needs Minor Fixes
P00070,Kelloggs,Breakfast,Instacart,Kelloggs Toaster Pastries 8pk (Pack of 6),41,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,70.0,Missing lifestyle images; Missing A+ content,Needs Minor Fixes
P00071,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive - Bar Soap 3pk,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,3.2,500,58.0,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk
P00072,Mondelez,Snacks,Kroger.com,Mondelez Cheese,15,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,4.5,954,57.1,Missing main image; Missing lifestyle images; Thin bullets (2/5); Title too short,At Risk
P00073,Colgate-Palmolive,Personal Care,Target.com,Toothpaste 6oz by Colgate-Palmolive,35,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,2.8,1086,88.8,Missing lifestyle images; Title too short,Needs Minor Fixes
P00074,Coca-Cola,Beverages,Instacart,Coca-Cola Energy,16,0,,True,True,False,True,True,4.3,3722,54.0,Missing A+ content; Thin bullets (0/5); Title too short,At Risk
P00075,Kelloggs,Snacks,Amazon,Kelloggs Trail Mix Pouch (Pack of 1),36,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,False,True,3.1,2557,59.0,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk
P00076,Kelloggs,Snacks,Kroger.com,Kelloggs Trail Mix Pouch (Pack of 12),37,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.7,935,55.9,Missing lifestyle images; Missing A+ content; Thin bullets (1/5); Title too short,At Risk
P00077,Mondelez,Confectionery,Instacart,Chocolate Chip Cookies by Mondelez,34,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,True,False,True,3.0,395,88.5,Out of stock; Title too short,Needs Minor Fixes
P00078,Colgate-Palmolive,Personal Care,Kroger.com,Colgate-Palmolive Toothpaste 6oz,32,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,False,True,3.5,424,58.0,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk
P00079,Kelloggs,Breakfast,Instacart,Granola Bars 6pk by Kelloggs,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,67.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00080,Kelloggs,Breakfast,Amazon,Instant Oatmeal 8pk by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,4.8,375,97.8,Title too short,Healthy
P00081,Kelloggs,Breakfast,Instacart,Toaster Pastries 8pk by Kelloggs,32,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,False,False,True,2.9,334,51.3,Missing lifestyle images; Missing A+ content; Out of stock; Thin bullets (2/5); Title too short,At Risk
P00082,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Laundry Detergent 50oz (Pack of 8),52,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,4.2,186,73.3,Missing A+ content; Thin bullets (2/5),Needs Minor Fixes
P00083,Nestle,Confectionery,Amazon,Nestle - Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.9,942,94.2,Title too short,Healthy
P00084,Kelloggs,Snacks,Instacart,Kelloggs Cracker Sandwiches (Pack of 1),39,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,2.8,1330,69.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00085,Nestle,Breakfast,Target.com,Nestle Toaster Pastries 8pk,27,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,3.2,2090,70.1,Missing A+ content; Thin bullets (2/5); Title too short,Needs Minor Fixes
P00086,Coca-Cola,Beverages,Target.com,Coca-Cola - Sparkling Water 8pk,31,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,False,3.8,2309,61.1,Missing A+ content; Price missing; Thin bullets (2/5); Title too short,At Risk
P00087,Kelloggs,Snacks,Kroger.com,Chips Family Size by Kelloggs,29,1,Made with real ingredients for a taste you'll love,True,True,True,True,True,3.5,1851,83.9,Thin bullets (1/5); Title too short,Needs Minor Fixes
P00088,Coca-Cola,Beverages,Target.com,Coca-Cola Sparkling Water 8pk,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,4.5,2669,77.2,Missing A+ content; Title too short,Needs Minor Fixes
P00089,Nestle,Confectionery,Instacart,Nestle Mint Tin,15,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,4.3,1799,63.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk
P00090,Kelloggs,Breakfast,Target.com,Instant Oatmeal 8pk by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,3.3,3488,87.8,Missing lifestyle images; Title too short,Needs Minor Fixes
